frame,type,u,v,x_m,y_m,in_court
238,floor_bounce,1461.7,1108.9,2.89,18.43,1
263,floor_bounce,1183.9,1342.2,2.05,14.50,1
282,floor_bounce,1496.7,1043.0,2.95,19.89,1
492,floor_bounce,1818.7,1171.3,4.75,17.06,1
676,floor_bounce,2522.3,2009.3,6.74,8.18,1
828,floor_bounce,1785.8,1461.8,4.65,12.82,1
873,floor_bounce,1908.6,1163.9,5.19,17.16,1
888,floor_bounce,1674.6,1235.5,4.09,15.99,1
1332,floor_bounce,1152.4,1302.4,1.82,15.09,1
1375,floor_bounce,1835.5,1101.8,4.83,18.41,1
1416,floor_bounce,2464.4,1992.5,6.60,8.29,1
1718,floor_bounce,3069.9,1556.4,9.20,11.56,1
1740,floor_bounce,1655.2,1160.0,3.94,17.33,1
1972,floor_bounce,1229.6,1709.1,2.84,10.46,1
2156,floor_bounce,2163.1,1020.3,6.65,20.09,1
2180,floor_bounce,1500.9,1671.3,3.72,10.74,1
2500,floor_bounce,2772.1,1733.2,7.83,10.05,1
2774,floor_bounce,918.1,2038.5,2.31,8.15,1
2804,floor_bounce,1783.3,1123.6,4.57,17.99,1
2822,floor_bounce,2094.0,1044.2,6.23,19.56,1
